,nm_class,samples,slices,fold
1,BLCA,TCGA-ZF-AA51-01A-21D-A391-08,2,1
2,BLCA,TCGA-XF-A8HE-01A-11D-A364-08,3,1
3,BLCA,TCGA-GV-A3JZ-01A-11D-A21A-08,4,1
4,BLCA,TCGA-K4-AAQO-01A-11D-A38G-08,5,1
5,BLCA,TCGA-FD-A6TF-01A-52D-A32B-08,6,1
6,BLCA,TCGA-XF-A8HG-01A-11D-A364-08,7,1
7,BLCA,TCGA-BT-A42B-01A-32D-A23M-08,8,1
8,BLCA,TCGA-XF-A9SZ-01A-11D-A391-08,9,1
9,BLCA,TCGA-GV-A3JW-01A-11D-A20D-08,10,1
11,BLCA,TCGA-PQ-A6FI-01A-11D-A31L-08,2,1
12,BLCA,TCGA-YC-A89H-01A-11D-A364-08,3,1
13,BLCA,TCGA-G2-AA3B-01A-11D-A391-08,4,1
14,BLCA,TCGA-PQ-A6FN-01A-11D-A31L-08,5,1
15,BLCA,TCGA-XF-A9T3-01A-11D-A42E-08,6,1
16,BLCA,TCGA-GU-A762-01A-11D-A339-08,7,1
17,BLCA,TCGA-GU-A767-01A-11D-A32B-08,8,1
18,BLCA,TCGA-XF-A9ST-01A-11D-A42E-08,9,1
19,BLCA,TCGA-GU-AATQ-01A-11D-A391-08,10,1
21,BLCA,TCGA-XF-A9SH-01A-11D-A391-08,2,1
22,BLCA,TCGA-KQ-A41Q-01A-11D-A339-08,3,1
23,BLCA,TCGA-ZF-AA4X-01A-11D-A38G-08,4,1
24,BLCA,TCGA-G2-A3IB-01A-11D-A20D-08,5,1
25,BLCA,TCGA-DK-A3IN-01A-11D-A20D-08,6,1
26,BLCA,TCGA-5N-A9KI-01A-31D-A42E-08,7,1
27,BLCA,TCGA-4Z-AA86-01A-11D-A391-08,8,1
28,BLCA,TCGA-XF-A9SJ-01A-11D-A391-08,9,1
29,BLCA,TCGA-4Z-AA7W-01A-11D-A391-08,10,1
31,BLCA,TCGA-ZF-A9R5-01A-12D-A42E-08,2,1
32,BLCA,TCGA-DK-A2I6-01A-12D-A18F-08,3,1
33,BLCA,TCGA-ZF-AA5P-01A-11D-A391-08,4,1
34,BLCA,TCGA-GD-A3OS-01A-12D-A21Z-08,5,1
35,BLCA,TCGA-KQ-A41N-01A-11D-A339-08,6,1
36,BLCA,TCGA-DK-AA6Q-01A-11D-A391-08,7,1
37,BLCA,TCGA-DK-A1AD-01A-11D-A13W-08,8,1
38,BLCA,TCGA-GC-A3RB-01A-12D-A21Z-08,9,1
39,BLCA,TCGA-FD-A3SM-01A-11D-A22Z-08,10,1
41,BLCA,TCGA-ZF-A9RL-01A-11D-A38G-08,2,1
42,BLCA,TCGA-XF-A9SU-01A-31D-A391-08,3,1
43,BLCA,TCGA-GV-A3QF-01A-31D-A22Z-08,4,1
44,BLCA,TCGA-E7-A5KF-01A-11D-A289-08,5,1
45,BLCA,TCGA-FD-A6TK-01A-42D-A339-08,6,1
46,BLCA,TCGA-XF-AAMR-01A-31D-A42E-08,7,1
47,BLCA,TCGA-BT-A20W-01A-21D-A14W-08,8,1
48,BLCA,TCGA-XF-A9SK-01A-11D-A42E-08,9,1
49,BLCA,TCGA-DK-A2I4-01A-11D-A21A-08,10,1
51,BLCA,TCGA-FD-A3SJ-01A-12D-A22Z-08,2,1
52,BLCA,TCGA-DK-A1AE-01A-11D-A13W-08,3,1
53,BLCA,TCGA-E7-A97P-01A-11D-A38G-08,4,1
54,BLCA,TCGA-CF-A47S-01A-11D-A23U-08,5,1
55,BLCA,TCGA-DK-AA6U-01A-11D-A391-08,6,1
56,BLCA,TCGA-FD-A5BT-01A-11D-A26M-08,7,1
57,BLCA,TCGA-BT-A20U-01A-11D-A14W-08,8,1
58,BLCA,TCGA-CF-A9FM-01A-11D-A38G-08,9,1
59,BLCA,TCGA-2F-A9KW-01A-11D-A38G-08,10,1
61,BLCA,TCGA-XF-AAN8-01A-11D-A42E-08,2,1
62,BLCA,TCGA-CF-A47Y-01A-11D-A23U-08,3,1
63,BLCA,TCGA-DK-A6AV-01A-12D-A30E-08,4,1
64,BLCA,TCGA-C4-A0F0-01A-12D-A10S-08,5,1
65,BLCA,TCGA-E7-A541-01A-11D-A26M-08,6,1
66,BLCA,TCGA-FD-A5BY-01A-31D-A289-08,7,1
67,BLCA,TCGA-E7-A6MD-01A-41D-A34U-08,8,1
68,BLCA,TCGA-CF-A1HS-01A-11D-A13W-08,9,1
69,BLCA,TCGA-XF-A8HC-01A-11D-A364-08,10,1
71,BLCA,TCGA-BT-A3PJ-01A-21D-A21Z-08,2,1
72,BLCA,TCGA-K4-A3WS-01A-11D-A22Z-08,3,1
73,BLCA,TCGA-GV-A3QK-01B-11D-A23M-08,4,1
74,BLCA,TCGA-HQ-A5ND-01A-11D-A26M-08,5,1
75,BLCA,TCGA-FD-A5BX-01A-11D-A26M-08,6,1
76,BLCA,TCGA-XF-AAML-01A-11D-A42E-08,7,1
77,BLCA,TCGA-CF-A3MG-01A-11D-A20D-08,8,1
78,BLCA,TCGA-CF-A47V-01A-11D-A23U-08,9,1
79,BLCA,TCGA-CF-A3MF-01A-12D-A21A-08,10,1
81,BLCA,TCGA-GD-A3OQ-01A-32D-A21Z-08,2,1
82,BLCA,TCGA-FD-A62P-01A-32D-A30E-08,3,1
83,BLCA,TCGA-GV-A3JX-01A-11D-A20D-08,4,1
84,BLCA,TCGA-K4-A5RH-01A-11D-A30E-08,5,1
85,BLCA,TCGA-XF-AAN5-01A-11D-A42E-08,6,1
86,BLCA,TCGA-DK-AA6X-01A-12D-A42E-08,7,1
87,BLCA,TCGA-4Z-AA7R-01A-11D-A391-08,8,1
88,BLCA,TCGA-E7-A7PW-01A-11D-A34U-08,9,1
89,BLCA,TCGA-YC-A9TC-01A-22D-A391-08,10,1
91,BLCA,TCGA-DK-AA71-01A-31D-A391-08,2,1
92,BLCA,TCGA-G2-A2EL-01A-12D-A18F-08,3,1
93,BLCA,TCGA-GC-A3RD-01A-12D-A22Z-08,4,1
94,BLCA,TCGA-E7-A4IJ-01A-31D-A26M-08,5,1
95,BLCA,TCGA-XF-A8HD-01A-11D-A364-08,6,1
96,BLCA,TCGA-E7-A8O8-01A-11D-A364-08,7,1
97,BLCA,TCGA-XF-AAN2-01A-11D-A42E-08,8,1
98,BLCA,TCGA-4Z-AA7N-01A-11D-A391-08,9,1
99,BLCA,TCGA-G2-AA3D-01A-11D-A391-08,10,1
101,BLCA,TCGA-GV-A40E-01A-12D-A23M-08,2,1
102,BLCA,TCGA-FT-A61P-01A-11D-A30E-08,3,1
103,BLCA,TCGA-XF-AAMF-01A-21D-A42E-08,4,1
104,BLCA,TCGA-GV-A3QI-01A-11D-A21Z-08,5,1
105,BLCA,TCGA-ZF-A9R9-01A-11D-A38G-08,6,1
106,BLCA,TCGA-CU-A5W6-01A-11D-A289-08,7,1
107,BLCA,TCGA-UY-A78O-01A-12D-A339-08,8,1
108,BLCA,TCGA-CF-A7I0-01A-22D-A34U-08,9,1
109,BLCA,TCGA-DK-A6AW-01A-11D-A30E-08,10,1
111,BLCA,TCGA-CU-A0YO-01A-11D-A10S-08,2,1
112,BLCA,TCGA-E7-A678-01A-11D-A30E-08,3,1
113,BLCA,TCGA-E7-A6MF-01A-12D-A32B-08,4,1
114,BLCA,TCGA-GU-A766-01A-11D-A32B-08,5,1
115,BLCA,TCGA-ZF-AA5N-01A-11D-A42E-08,6,1
116,BLCA,TCGA-S5-A6DX-01A-11D-A31L-08,7,1
117,BLCA,TCGA-4Z-AA7Y-01A-11D-A391-08,8,1
118,BLCA,TCGA-ZF-A9RD-01A-11D-A42E-08,9,1
119,BLCA,TCGA-CF-A47W-01A-11D-A23U-08,10,1
121,BLCA,TCGA-2F-A9KT-01A-11D-A38G-08,2,1
122,BLCA,TCGA-DK-A1A3-01A-11D-A13W-08,3,1
123,BLCA,TCGA-XF-A9T5-01A-11D-A42E-08,4,1
124,BLCA,TCGA-FD-A5BU-01A-31D-A26M-08,5,1
125,BLCA,TCGA-ZF-A9R7-01A-11D-A38G-08,6,1
126,BLCA,TCGA-XF-AAN1-01A-31D-A42E-08,7,1
127,BLCA,TCGA-CF-A5UA-01A-11D-A289-08,8,1
128,BLCA,TCGA-GC-A4ZW-01A-11D-A26M-08,9,1
129,BLCA,TCGA-4Z-AA80-01A-11D-A391-08,10,1
131,BLCA,TCGA-FD-A5BS-01A-21D-A26M-08,2,1
132,BLCA,TCGA-DK-AA6P-01A-11D-A391-08,3,1
133,BLCA,TCGA-S5-AA26-01A-11D-A38G-08,4,1
134,BLCA,TCGA-DK-A2I1-01A-11D-A17V-08,5,1
135,BLCA,TCGA-ZF-A9RN-01A-11D-A42E-08,6,1
136,BLCA,TCGA-GU-A763-01A-11D-A32B-08,7,1
137,BLCA,TCGA-DK-A6B0-01A-11D-A31L-08,8,1
138,BLCA,TCGA-XF-AAMZ-01A-11D-A42E-08,9,1
139,BLCA,TCGA-FD-A3SR-01A-11D-A22Z-08,10,1
141,BLCA,TCGA-XF-AAN7-01A-11D-A42E-08,2,1
142,BLCA,TCGA-FD-A3SS-01A-12D-A22Z-08,3,1
143,BLCA,TCGA-FJ-A871-01A-11D-A34U-08,4,1
144,BLCA,TCGA-CF-A8HX-01A-11D-A364-08,5,1
