,samples,nm_class,slices,fold
1,4838b5a9-968c-4178-bffb-3fafe1f6dc09,Bladder-TCC,2,1
2,c66c92d5-df65-46e6-861d-d8a98808e6a3,Bladder-TCC,3,1
3,973d0577-8ca4-44a1-817f-1d3c1bada151,Bladder-TCC,4,1
4,91f458e6-64b7-454d-a542-b0aa23638fd8,Bladder-TCC,5,1
5,8c619cbc-9e91-4716-9711-5236e55d8f46,Bladder-TCC,6,1
6,abd2d959-d5ed-4eb3-9759-67eb1aa23325,Bladder-TCC,7,1
7,0c7aca3f-e006-4de3-afc2-20b4f727d4fd,Bladder-TCC,8,1
8,804ffa2e-158b-447d-945c-707684134c87,Bladder-TCC,9,1
9,2b142863-b963-4cc9-8f8f-c72503c93390,Bladder-TCC,10,1
11,acc629cb-ad03-4cec-9b21-922e4932ef3e,Bladder-TCC,2,1
12,d4615ca0-b5c7-4a5c-8593-bd50034a78ae,Bladder-TCC,3,1
13,448fe471-3f4e-4dc8-a4e0-6f147dc93abe,Bladder-TCC,4,1
14,cda1a403-16b6-487c-a82a-c377d1d0f89d,Bladder-TCC,5,1
15,df8a913c-5160-4fc5-950d-7c890e24e820,Bladder-TCC,6,1
16,418a3dec-96ff-4719-becb-e1a8260cce2f,Bladder-TCC,7,1
17,f389176f-d8f3-45c2-aae4-7378a3d6fc7f,Bladder-TCC,8,1
18,b73523d7-f5a5-4140-8537-4df4d1ecf465,Bladder-TCC,9,1
19,ffdd4feb-aca3-4104-b1e8-954d705a6450,Bladder-TCC,10,1
21,e6c78a98-f45b-482b-a551-4f11b8c1ff8b,Bladder-TCC,2,1
22,7d2a22eb-7344-4cba-ad7d-94c3f9ef3d7c,Bladder-TCC,3,1
23,a876398c-5b1d-444f-a360-5fe2db697480,Breast-AdenoCA,4,1
24,f848b66f-bd9e-4fba-afd4-eb58848d1ef4,Breast-AdenoCA,5,1
25,e5593865-5f8e-4a4c-b36f-73fbe64d66da,Breast-AdenoCA,6,1
26,1eb62abc-7928-405b-84cc-f091ca5347b2,Breast-AdenoCA,7,1
27,dabb5a94-9706-4429-8db0-c328e2004340,Breast-AdenoCA,8,1
28,ec4d4cbc-d5d1-418d-a292-cad9576624fd,Breast-AdenoCA,9,1
29,6764e0a2-7a78-45c1-9189-6001c6518ce4,Breast-AdenoCA,10,1
31,fc6d77a9-121b-48ab-a899-713c3d1319a2,Breast-AdenoCA,2,1
32,987d41ee-6bab-490c-b0f2-bf28c0089de9,Breast-AdenoCA,3,1
33,d8fbb398-d1da-4444-984a-22c8523625da,Breast-AdenoCA,4,1
34,f39cc911-36a7-4c06-9e91-4ad86281db3d,Breast-AdenoCA,5,1
35,43f7a2e0-fec9-4e43-872d-18c6c946fa17,Breast-AdenoCA,6,1
37,4e84eed6-82a8-4e91-b0fd-61ec6ef69ce9,Breast-AdenoCA,7,1
38,e8392f20-c9e3-4649-b64f-5b266c393a76,Breast-AdenoCA,8,1
39,fb9135d9-2acf-41dd-8552-359e6b8c9470,Breast-AdenoCA,9,1
40,2c6f1862-bb82-4e7e-9cb3-338bdf022ff4,Breast-AdenoCA,10,1
44,71fda5a9-7049-406f-9348-2c24f7ddf5f4,Breast-AdenoCA,2,1
45,e55f338f-97e2-4394-ae23-c92606069485,Breast-AdenoCA,3,1
46,cc4f9175-a8c8-424a-99d7-8bd11cae0e52,Breast-AdenoCA,4,1
47,13d05f7a-e16a-40ef-9a15-21257da2cf89,Breast-AdenoCA,5,1
48,d5372745-95cf-4572-a6e7-e7f5b796911a,Breast-AdenoCA,6,1
49,aacaba97-ecde-440b-aae0-0e9c608c4b24,Breast-AdenoCA,7,1
50,25c76a8f-77c0-4650-bddf-45ed0c10a2e6,Breast-AdenoCA,8,1
51,1bb3a1c7-4d7b-4fb6-b54d-e94cbd0e32aa,Breast-AdenoCA,9,1
52,df291849-4c35-44e1-b013-8f6b7ee36113,Breast-AdenoCA,10,1
54,c67409b2-ac25-42a0-8543-4636ef132fe4,Breast-AdenoCA,2,1
55,6d7f44df-e9f0-4542-a6d8-d14ee7804002,Breast-AdenoCA,3,1
56,a6c14ebc-81a2-44f7-af87-2b7ec85e5696,Breast-AdenoCA,4,1
57,07b5141f-ac79-439b-883b-b0183bbe7ff5,Breast-AdenoCA,5,1
59,2290b078-6a5b-4c83-9dfb-b525bbf14e4e,Breast-AdenoCA,6,1
60,36d1a85e-a09b-4537-86e0-eaf1eb03aed8,Breast-AdenoCA,7,1
61,15f90ef0-831b-40a3-98bd-ec226a9e8b26,Breast-AdenoCA,8,1
62,74039acd-5aca-4c65-818c-3b577d295be0,Breast-AdenoCA,9,1
63,b27d75ba-5989-4200-bfe9-f1b7d7cf8008,Breast-AdenoCA,10,1
65,8e03e773-5557-4e78-889b-4710c515378f,Breast-AdenoCA,2,1
66,41f140b8-72b9-4ae3-8b25-6144d9f94d0f,Breast-AdenoCA,3,1
67,30dbe353-86d5-40ed-84c2-dbddf7beb17b,Breast-AdenoCA,4,1
68,2b000af3-2c9d-4eaa-af3f-8101b7425c37,Breast-AdenoCA,5,1
69,546b982f-60d9-43df-9761-09369afbee2d,Breast-AdenoCA,6,1
70,6c8e9197-fd16-4fed-bfda-e349cab26314,Breast-AdenoCA,7,1
71,eddfbfb9-3ae8-449b-b870-46062a2571c1,Breast-AdenoCA,8,1
72,9032b7fe-e38a-4641-a45e-67041668adc4,Breast-AdenoCA,9,1
73,418e916b-7a4e-4fab-8616-15dcec4d79f8,Breast-AdenoCA,10,1
75,fe04d042-a4cc-4a14-8197-415ea40951aa,Breast-AdenoCA,2,1
76,27f87d1e-2c32-4beb-9677-62f7a286673d,Breast-AdenoCA,3,1
77,f8f749b7-547d-49fa-9da2-44eed962b6fd,Breast-AdenoCA,4,1
78,73936e8b-c893-4afd-bd1f-be90c06a4869,Breast-AdenoCA,5,1
79,25e4cad7-2403-4992-9cbc-433574673549,Breast-AdenoCA,6,1
80,db45d81f-695c-4f99-beea-6dbec1ff47fc,Breast-AdenoCA,7,1
81,467ef778-f481-44f3-9768-b9900252d2ba,Breast-AdenoCA,8,1
82,7b08e810-f3c9-4155-ac11-f45a3a4f8b41,Breast-AdenoCA,9,1
83,5dbf3203-ce73-41e4-bf9a-32fc856f73f5,Breast-AdenoCA,10,1
86,8691c87f-2468-44bb-a670-3dccd6da33c6,Breast-AdenoCA,2,1
87,d8c6d4b8-f279-4edc-aaa3-a1cc266aec4d,Breast-AdenoCA,3,1
88,110b5f05-ded7-45ec-b0f6-a941c92d77dd,Breast-AdenoCA,4,1
89,aa58c09a-7799-4675-8310-d270224b163e,Breast-AdenoCA,5,1
90,987528ac-437a-4eb8-a335-4f2076d5c006,Breast-AdenoCA,6,1
91,13c312ec-0add-4758-ab8d-c193e2e08c6d,Breast-AdenoCA,7,1
92,5b7d5767-2037-4175-aec9-886776343181,Breast-AdenoCA,8,1
93,b752b444-f033-4be4-9d24-e5e80b4181af,Breast-AdenoCA,9,1
94,5a535c49-d42e-43c6-9d32-dc76f28d4f0f,Breast-AdenoCA,10,1
96,4d409156-3a36-4c63-9ad6-b6af34f27b06,Breast-AdenoCA,2,1
97,ddc7377d-82c3-480a-be3c-3d1da52c77d4,Breast-AdenoCA,3,1
98,a85cf239-ff51-46e7-9b88-4c2cb49c66b9,Breast-AdenoCA,4,1
99,207f8a42-5b05-4876-b0ae-ebfaeea27844,Breast-AdenoCA,5,1
100,ea43434b-197e-48ac-ae2e-46bc7f3776de,Breast-AdenoCA,6,1
101,01658141-8398-4585-9f0f-8355dd9b0604,Breast-AdenoCA,7,1
102,7456abd5-303e-4e6f-bf4e-47efefc7310f,Breast-AdenoCA,8,1
103,f6114c69-71a1-47d5-9b28-b0227b1872f7,Breast-AdenoCA,9,1
104,0448206f-3ade-4087-b1a9-4fb2d14e1367,Breast-AdenoCA,10,1
106,f69e5057-eda6-4391-ba9a-aedbf6b572da,Breast-AdenoCA,2,1
107,6e839eaf-1dbb-43f5-8846-c980e05540c7,Breast-AdenoCA,3,1
109,2da2b745-068d-408c-9163-3b3a78d4aaed,Breast-AdenoCA,4,1
110,3585e133-b3c1-4d90-b5f2-2b867e0ae0ec,Breast-AdenoCA,5,1
111,1c0e384f-7254-4afe-93c0-b3fc6c6a7894,Breast-AdenoCA,6,1
112,e7dc7492-3a84-49c7-8dea-8f508b53dc40,Breast-AdenoCA,7,1
113,9c70688d-6e43-4520-9262-eaae4e4d597d,Breast-AdenoCA,8,1
114,9ff21093-58d7-4b69-aade-c242a383ea56,Cervix-SCC,9,1
115,3269608c-5dd7-452a-976a-31ac971aac2f,Cervix-SCC,10,1
117,07d20658-3db4-47e7-877b-66536266edfc,Cervix-SCC,2,1
118,945e6808-2887-4f32-ac32-8f9e00353bf6,Cervix-SCC,3,1
119,7dc3e035-c7ae-4164-a62b-9c2460812b05,Cervix-SCC,4,1
120,f658c350-fb89-4268-8a59-a07e365f4221,Cervix-SCC,5,1
122,7bc3209f-b349-49bf-9b3d-44ef870b586f,Cervix-SCC,6,1
123,43be43cb-a367-4a74-94e4-973acafcf576,Cervix-SCC,7,1
124,8be2b0f5-7bad-4720-b13c-e95b32bdb933,Cervix-SCC,8,1
125,06dad93a-4b67-49b3-8fa5-f2546e22bae7,Cervix-SCC,9,1
126,14b8bbf2-310b-459b-b52d-a7ef510ce1cf,Cervix-SCC,10,1
129,801e67c8-c506-410a-bdf0-856a66e974f4,Cervix-SCC,2,1
130,e07991a4-0901-4ed1-8704-aa376565d862,Cervix-SCC,3,1
