tumor_wgs_aliquot_id	n_sites	n_mut_sites	f_mut_sites
0009b464-b376-4fbc-8a56-da538269a02f	1039347	14063	0.0135306110471
003819bc-c415-4e76-887c-931d60ed39e7	1021384	1	9.79063701801e-07
0040b1b6-b07a-4b6e-90ef-133523eaf412	690027	3238	0.00469257000088
00493087-9d9d-40ca-86d5-936f1b951c93	657858	606	0.000921171438213
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	1005168	7101	0.007064490712
005794f1-5a87-45b5-9811-83ddf6924568	1012040	36	3.55717165329e-05
005e85a3-3571-462d-8dc9-2babfc7ace21	912526	9	9.8627326783e-06
007aab66-2f07-459d-8952-3041d6ea24a8	1147174	38	3.31248790506e-05
008aef39-0c97-48ce-9dfd-f12d67116c59	1176382	1005	0.000854314329869
008bad10-d41b-4bbb-86fa-9976ecea46b1	1146070	28	2.44313174588e-05
00aa769d-622c-433e-8a8a-63fb5c41ea42	776553	27	3.47690370136e-05
00b9d0e6-69dc-4345-bffd-ce32880c8eef	694858	440	0.000633222903097
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	637539	3	4.70559448128e-06
00c27940-c623-11e3-bf01-24c6515278c0	785330	43	5.47540524366e-05
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	1231270	1078	0.000875518773299
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	797201	2341	0.00293652416392
01658141-8398-4585-9f0f-8355dd9b0604	912737	853	0.000934551793123
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	947503	5	5.27702814661e-06
0176cf1d-0760-4769-a493-277f4bb7585e	667972	247	0.000369775978634
0192d529-7340-45d8-a5f0-249cbb11ca19	748422	326	0.00043558313358
01b0848c-ae36-4ade-a3da-d297b003c99f	1140572	1880	0.00164829576739
01c8e465-2b4e-4519-bdef-c3ac06b43eeb	946487	1032	0.00109034778079
01dc6872-c623-11e3-bf01-24c6515278c0	892243	28	3.13815855098e-05
01df36af-3617-40fc-9892-f54ce433cf71	831344	3887	0.00467556150041
02078f77-2b35-4fa3-ab02-2c017181295e	1054547	54	5.12068215072e-05
020fab36-c7de-4933-b2bf-dc7b019a1326	697372	6763	0.00969783702242
0250e6f7-2538-4d1f-a8ff-ca34a7057dde	1024569	2066	0.00201645765195
02706819-bcab-4c49-a569-a4a8c60db1c0	976404	132	0.000135189941868
02917220-6a7a-46a1-8656-907e96bef88e	817307	12	1.4682365378e-05
0292a46f-a282-4b7f-a7d6-ac55cc7324fb	866212	8	9.23561437616e-06
02c6a893-49c5-49d1-8eb1-195021e70d52	761383	10	1.31339943235e-05
02c97e2b-914e-4afc-bf50-78f0cfbfa67b	1087315	2064	0.00189825395585
02e5c36f-5bec-45e2-a048-875653b85ca1	564029	244	0.000432601869762
030695f6-c623-11e3-bf01-24c6515278c0	786444	1536	0.00195309519813
031962d6-fc7d-4c6c-9d47-ffa45997b249	874027	319	0.00036497728331
0332b017-17d5-4083-8fc4-9d6f8fdbbbde	586526	491	0.000837132539734
0363fe2c-d765-450e-8b1a-d13a23d9af2a	950751	256	0.000269260826441
0385961e-ea99-40b2-ad79-6872bc30d8a1	1016398	1906	0.00187524965614
0394f4b0-a732-458a-b75a-180a778553e4	445360	822	0.0018456978624
03ad38a6-0902-4aaa-84a3-91ea88fa9883	828121	1	1.20755300252e-06
03b5268e-881e-49e7-824f-170c3fc8b11b	978052	1997	0.0020418137277
03c3c692-8a86-4843-85ae-e045f0fa6f88	978688	426	0.000435276615224
03c88506-d72e-4a44-a34e-a7f0564f1799	872567	1377	0.00157810231191
03ced0ce-186a-4349-8d98-572c2bc90382	801729	7103	0.00885960218478
03cff38d-7e29-4409-a508-749bddb1b3df	537270	469	0.000872931673088
03deff56-b3b4-4d3d-94df-b2db40aacb64	1009863	7	6.93163330075e-06
041e3b42-c623-11e3-bf01-24c6515278c0	761043	20	2.62797240103e-05
04339769-517c-448d-a7ca-951f83608c60	718156	126	0.000175449345268
