,nm_class,samples,NiSi,SNV,indel,SVMEI,Normal,fold
1,Bone-Osteosarc,f82d213f-9843-28eb-e040-11ac0d483e48.csv,1288,2,64,372,1,2
2,Bone-Osteosarc,f82d213f-9ba5-7b6b-e040-11ac0c486882.csv,5861,48,388,777,4,3
3,Bone-Osteosarc,f82d213f-bc06-5b51-e040-11ac0c48687e.csv,2011,22,196,264,0,4
4,Bone-Osteosarc,f82d213f-bc99-5b1d-e040-11ac0c486880.csv,9510,139,555,1517,0,5
5,Bone-Osteosarc,f82d213f-caa7-fd59-e040-11ac0d483e46.csv,4763,51,256,3484,0,6
6,Bone-Osteosarc,f82d2146-70f5-8114-e040-11ac0d483e50.csv,3723,40,48,2608,0,7
7,Bone-Osteosarc,f82d2146-726a-d0e0-e040-11ac0c486888.csv,3675,28,75,1848,0,8
8,Bone-Osteosarc,f83f1eb8-b2c8-c3d6-e040-11ac0c48261e.csv,5032,53,384,368,2,9
9,Bone-Osteosarc,f83fc777-5416-c3e9-e040-11ac0d482c8e.csv,9231,122,391,3708,2,10
11,Bone-Osteosarc,f841c488-6b8d-6645-e040-11ac0c481418.csv,1133,11,42,664,0,2
12,Bone-Osteosarc,f8425828-5b0f-23a8-e040-11ac0d484128.csv,2475,20,99,100,0,3
13,Bone-Osteosarc,f843ed5c-0336-3d33-e040-11ac0d48478c.csv,2927,96,433,733,0,4
14,Bone-Osteosarc,f845ebba-8c56-b559-e040-11ac0c4863d5.csv,5161,99,715,868,6,5
15,Bone-Osteosarc,f8467ec8-2d61-ba21-e040-11ac0c483584.csv,1900,58,93,871,0,6
16,Bone-Osteosarc,f8515e5a-7de3-6be3-e040-11ac0c480d6d.csv,1195,6,97,24,0,7
17,Bone-Osteosarc,f85397dc-e6e9-4f54-e040-11ac0d48706c.csv,3619,35,59,1396,0,8
18,Bone-Osteosarc,f854ae3f-356d-f0ad-e040-11ac0c485dae.csv,1785,12,31,436,0,9
19,Bone-Osteosarc,f856fa85-fdb8-c0b0-e040-11ac0d480b4e.csv,4660,42,159,1472,0,10
21,Bone-Osteosarc,f8593ac0-9480-22a0-e040-11ac0d48697a.csv,6130,67,234,2425,2,2
22,Bone-Osteosarc,f85add3d-e2e6-31f8-e040-11ac0d48479c.csv,14101,163,573,1784,0,3
23,Bone-Osteosarc,f85ae2b7-cebf-17a2-e040-11ac0c48033a.csv,2504,30,104,544,3,4
24,Bone-Osteosarc,f860bc4c-f31b-6538-e040-11ac0c48268f.csv,1582,18,86,472,2,5
25,Bone-Osteosarc,f866123a-9eb0-e856-e040-11ac0c48717e.csv,6735,112,398,452,0,6
